"","doc","sent_tokens","element_id","sentence_id","word_count","sentiment"
"1",2019,"india  imf country report no.",1,1,5,0
"2",2019,"19/385  december 2019 2019 article iv consultation—press release;  staff report; staff statement and statement  by the executive director for india  under article iv of the imf’s articles of agreement, the imf holds bilateral discussions  with members, usually every year.",2,1,38,0.121666065848072
"3",2019,"in the context of the 2019 article iv consultation with  india, the following documents have been released and are included in this package:  • a press release summarizing the views of the executive board as expressed during its  november 25, 2019 consideration of the staff report that concluded the article iv  consultation with india.",3,1,50,0.0848528137423857
"4",2019,"• the staff report prepared by a staff team of the imf for the executive board’s  consideration on november 25, 2019, following discussions that ended  september 3, 2019, with the officials of india on economic developments and policies.",4,1,34,0.0428746462856272
"5",2019,"based on information available at the time of these discussions, the staff report was  completed on october 16, 2019  • an informational annex prepared by the imf staff.",5,1,25,0.34
"6",2019,"• a staff statement updating information on recent developments.",6,1,8,0.14142135623731
"7",2019,"• a statement by the executive director for india.",7,1,8,0.0883883476483184
"8",2019,"the imf’s transparency policy allows for the deletion of market-sensitive information and  premature disclosure of the authorities’ policy intentions in published staff reports and  other documents.",8,1,28,0.0566946709513841
"9",2019,"copies of this report are available to the public from  international monetary fund • publication services  po box 92780 • washington, d.c.",9,1,20,0.268328157299975
"10",2019,"20090  telephone: (202) 623-7430 • fax: (202) 623-7201  e-mail: publications@imf.",10,1,6,0
"11",2019,"org web: http://www.imf.",10,2,5,0
"12",2019,"org  price: $18.00 per printed copy  international monetary fund  washington, d.c.",10,3,11,0.120604537831105
"13",2019,"© 2019 international monetary fund  press release no.",11,1,6,0.163299316185545
"14",2019,"19/488 for immediate release december 23, 2019  international monetary fund 700 19th street, nw  washington, d.",12,1,12,0.115470053837925
"15",2019,"c.",13,1,1,0
"16",2019,"20431 usa imf executive board concludes 2019 article iv consultation with india  on november 25, 2019, the executive board of the international monetary fund (imf) concluded  the article iv consultation1with india.",14,1,28,0.0755928946018454
"17",2019,"the staff report and the macroeconomic projections are based  on data available through october 16, 2019.",15,1,14,0.21380899352994
"18",2019,"india has been among the fastest-growing economies in the world over the past few years, lifting  millions out of poverty.",16,1,21,-0.120019839629796
"19",2019,"however, growth slowed to 5.0 percent in the april-june 2019 quarter (y/y),  a six-year low.",17,1,16,0.0625
"20",2019,"the deceleration of consumption and investment was exacerbated by weaknesses in  the non-bank financial sector and corporate and environmental regulatory uncertainty.",18,1,22,-0.437061468529001
"21",2019,"weak demand  in conjunction with continued low food prices—thanks to successive normal monsoon rainfall and  agricultural sector reforms—caused average inflation to moderate to a multi-year low of 3.4 percent  in fy2018/19.",19,1,33,0.078334945180064
"22",2019,"through august, inflation remained below the mid-point of the reserve bank of india  (rbi)’s medium-term inflation target band of 4 percent ± 2 percent.",20,1,24,-0.163299316185545
"23",2019,"after rising through late 2018, external vulnerabilities eased in the first three quarters of 2019, on  lower oil prices and renewed portfolio inflows.",21,1,21,0.130930734141595
"24",2019,"in fy2018/19, the current account deficit (cad)  widened to 2.1 percent of gdp, on a rising oil import bill.",22,1,18,-0.212132034355964
"25",2019,"foreign direct investment (fdi) financed  about half of the cad.",23,1,10,-0.205548047910945
"26",2019,"the rupee depreciated by about 3.4 and 5.9 percent on average in real and  nominal effective terms in fy2018/19, also reflecting portfolio outflows in mid-2018.",24,1,23,0
"27",2019,"the u.s. dollar  value of non-oil merchandise exports expanded by 6.6 percent, broadly maintaining india’s global  export market share.",25,1,21,0.414613991448386
"28",2019,"gross reserves declined by us$12 billion during fy2018/19 to us$413 billion  (7 months of imports), while the net forward position fell by us$34 billion.",26,1,23,-0.312771621085612
"29",2019,"gross reserves rose to  us$429 billion by end-august 2019 on renewed portfolio inflows and they remain adequate.",27,1,17,-0.0606339062590832
"30",2019,"india’s  external debt remains low at 19 percent of gdp.",28,1,10,-0.237170824512628
"31",2019,"macro-financial risks from banking sector weaknesses have decreased somewhat, and steps have been  taken to enhance monitoring of nbfcs and alleviate liquidity pressures faced by some nbfcs.",29,1,28,0.188982236504614
"32",2019,"capital injections from the government budget and the initial results of the implementation of the  insolvency and bankruptcy code (ibc) have improved public sector banks (psbs) capital position  and asset quality.",30,1,31,-0.00898026510133875
"33",2019,"the plan to merge several psbs reduces their number to 12 but does not change the   1 under article iv of the imf's articles of agreement, the imf holds bilateral discussions with members,  usually every year.",31,1,34,0.0857492925712544
"34",2019,"a staff team visits the country, collects economic and financial information, and discusses  with officials the country's economic developments and policies.",32,1,21,-0.0218217890235992
"35",2019,"on return to headquarters, the staff prepares a  report, which forms the basis for discussion by the executive board.",33,1,19,0.0917662935482247
"36",2019,"large presence of the government in the banking system.",33,2,9,-0.0333333333333333
"37",2019,"the growth of bank credit decelerated to 10  percent (y/y) in august 2019, from 14 percent (y/y) in december 2018.",34,1,18,0.117851130197758
"38",2019,"despite a shortfall in revenues relative to ambitious targets, the central government broadly adhered  to its headline fiscal deficit objective.",35,1,20,0.111803398874989
"39",2019,"as a result, there was a small improvement in the on-budget  fiscal balance in fy2018/19 (imf presentation, see table).",36,1,20,0.301869176962472
"40",2019,"this was accomplished through substantial  on-budget revenue-expenditure compression, facilitated by financing some obligations off budget.",37,1,17,0.242535625036333
"41",2019,"while the headline general government fiscal deficit narrowed meaningfully, thanks in part to a  decline in the fiscal deficits of the states, the public sector borrowing requirement (psbr) remained  high.",38,1,30,-0.136930639376292
"42",2019,"the psbr includes borrowing by most central public sector undertakings (psus, borrowing by  state psus and by local governments is not included because of data unavailability).",39,1,26,-0.11766968108291
"43",2019,"the path of the  psbr in recent years suggests that fiscal policy has been more accommodative than what is implied  by the path of the general government deficit.",40,1,28,0.158745078663875
"44",2019,"this also explains why india’s general government  debt has remained high, at about 69 percent of gdp.",41,1,17,-0.371079506305589
"45",2019,"but india’s debt profile is conducive to debt  sustainability, with debt largely held by residents, denominated in domestic currency, and with  relatively long maturity.",42,1,25,-0.1275
"46",2019,"the fy2019/20 central government budget envisages a reduction in the fiscal deficit of 0.1 percent of gdp (a reduction by 0.2 percent of gdp in the structural primary  balance, both imf definition) but is again based on overly optimistic revenue targets, and the recent  reduction of corporate income tax rates makes achieving the budget targets increasingly unlikely.",43,1,55,-0.704538856274088
"47",2019,"the macroeconomic outlook is more subdued and uncertain than in recent years.",44,1,12,-0.597557528611263
"48",2019,"growth is projected  at 6.1 percent in fy2019/20.",45,1,7,0.188982236504614
"49",2019,"investment and private consumption are expected to firm in the second  half of the fiscal year.",46,1,16,0
"50",2019,"this is expected to be supported by the lagged effects of monetary policy  easing, recent measures to facilitate monetary policy transmission and address corporate and  environmental regulatory uncertainty, and government programs to support rural consumption being  rolled out.",47,1,38,0.137888207961148
"51",2019,"over the medium term, growth is projected to gradually rise to its medium-term potential  of 7.3 percent on continued commitment to inflation targeting, gradual macro-financial and structural  reforms, including implementation of reforms initiated earlier, such as the goods and services tax  (gst) and the insolvency and bankruptcy code (ibc), as well as ongoing steps to liberalize fdi  flows and further improve the ease of doing business.",48,1,67,0.494786249643036
"52",2019,"inflation is projected to remain around 3.4 percent with the effect of subdued demand broadly  offsetting dissipating base effects of low food prices.",49,1,22,-0.149240501448927
"53",2019,"the current account deficit is projected to  narrow marginally, to 2.0 percent of gdp.",50,1,13,-0.249615088301353
"54",2019,"the balance of payments would return to surplus, on  returning capital inflows thanks to more accommodative global financial conditions.",51,1,19,0.880956418062957
"55",2019,"the rise in  protectionism and retreat from multilateralism could affect india directly through the trade channel  and indirectly through confidence effects and related effects on financial markets.",52,1,27,0.0192450089729875
"56",2019,"while there may be  trade diversion toward india from the u.s.-china tariff escalation, the macroeconomic impact is  expected to be small given india’s relatively low trade openness and less diversified exports base.",53,1,35,0.169030850945703
